"ligne","code_propose","proba","decision"
329,"02.1.3",0.729373472094574,"Code automatique"
330,"01.1.6.2",0.729373472094574,"Code automatique"
331,"01.1.2.2",0.729373472094574,"Code automatique"
332,"01.1.1.3",0.523504296398258,"Code automatique"
333,"03.1.3.1",0.459955268245578,"Code automatique"
334,"07.2.2.1",0.729373472094574,"Code automatique"
335,"01.1.7.2",0.673079021312438,"Code automatique"
336,"01.1.1.3",0.626928342433624,"Code automatique"
337,"98.1.1",0.523504296398258,"Code automatique"
338,"01.1.7.2",0.673079021312438,"Code automatique"
339,"99.2",0.324432068885534,"Code automatique"
340,"01.1.7.9",0.729373472094574,"Code automatique"
341,"01.1.7.1",0.570633891651488,"Code automatique"
342,"01.1.1.3",0.626928342433624,"Code automatique"
343,"01.1.6.2",0.729373472094574,"Code automatique"
344,"01.1.6.5",0.402422965163641,"Code automatique"
345,"05.6.1.1",0.324432068885534,"Code automatique"
346,"01.1.4.5",0.729373472094574,"Code automatique"
347,"13.1.2",0.570633891651488,"Code automatique"
348,"04.3.1.1",0.266899765803598,"Reprise manuelle / LLM"
349,"12.1.2",0.626928342433624,"Code automatique"
350,"03.1.2",0.570633891651488,"Code automatique"
351,"01.1.4.5",0.729373472094574,"Code automatique"
352,"06.2.3",0.673079021312438,"Code automatique"
353,"01.1.2.2",0.626928342433624,"Code automatique"
354,"01.1.7.2",0.729373472094574,"Code automatique"
355,"05.6.1.1",0.729373472094574,"Code automatique"
356,"01.1.1.3",0.729373472094574,"Code automatique"
357,"01.1.7.9",0.626928342433624,"Code automatique"
358,"01.1.7.9",0.729373472094574,"Code automatique"
359,"01.2.2",0.729373472094574,"Code automatique"
360,"01.1.2.5",0.626928342433624,"Code automatique"
361,"04.5.3",0.523504296398258,"Code automatique"
362,"09.7.2.1",0.729373472094574,"Code automatique"
363,"13.1.2",0.626928342433624,"Code automatique"
364,"01.1.1.3",0.626928342433624,"Code automatique"
365,"09.3.2.2",0.523504296398258,"Code automatique"
366,"01.1.1.3",0.626928342433624,"Code automatique"
367,"01.1.9.4",0.523504296398258,"Code automatique"
368,"01.1.2.2",0.626928342433624,"Code automatique"
369,"08.2",0.459955268245578,"Code automatique"
370,"11.1.1.1",0.523504296398258,"Code automatique"
371,"11.1.1.1",0.523504296398258,"Code automatique"
372,"01.1.1.3",0.626928342433624,"Code automatique"
373,"04.3.1.1",0.626928342433624,"Code automatique"
374,"08.3.9.2",0.729373472094574,"Code automatique"
375,"05.5.2.1",0.598839376572889,"Code automatique"
376,"13.9.0.9",0.324432068885534,"Code automatique"
377,"01.1.1.5",0.324432068885534,"Code automatique"
378,"01.1.6.3",0.729373472094574,"Code automatique"
379,"01.1.9.1",0.626928342433624,"Code automatique"
380,"01.1.6.5",0.729373472094574,"Code automatique"
381,"01.1.9.1",0.570633891651488,"Code automatique"
382,"01.1.6.4",0.673079021312438,"Code automatique"
383,"03.1.2",0.673079021312438,"Code automatique"
384,"01.1.8.3",0.324432068885534,"Code automatique"
385,"11.1.1.1",0.626928342433624,"Code automatique"
386,"01.1.3.4",0.459955268245578,"Code automatique"
387,"13.1.2",0.626928342433624,"Code automatique"
388,"01.1.7.2",0.729373472094574,"Code automatique"
389,"01.1.1.3",0.729373472094574,"Code automatique"
390,"09.7.1",0.673079021312438,"Code automatique"
391,"06.1.1.1",0.729373472094574,"Code automatique"
392,"99.4",0.324432068885534,"Code automatique"
393,"09.3.2.2",0.459955268245578,"Code automatique"
394,"11.1.1.2",0.523504296398258,"Code automatique"
395,"08.3.3",0.729373472094574,"Code automatique"
396,"01.1.1.3",0.729373472094574,"Code automatique"
397,"11.1.1.1",0.729373472094574,"Code automatique"
398,"01.1.9.3",0.459955268245578,"Code automatique"
399,"01.1.9.1",0.523504296398258,"Code automatique"
400,"01.1.9.1",0.523504296398258,"Code automatique"
401,"04.3.1.1",0.626928342433624,"Code automatique"
402,"04.3.1.1",0.523504296398258,"Code automatique"
403,"01.1.2.2",0.729373472094574,"Code automatique"
404,"01.1.1.3",0.729373472094574,"Code automatique"
405,"01.1.9.1",0.626928342433624,"Code automatique"
406,"01.1.4.2",0.729373472094574,"Code automatique"
407,"01.1.1.3",0.626928342433624,"Code automatique"
408,"01.1.6.3",0.729373472094574,"Code automatique"
409,"01.1.2.2",0.570633891651488,"Code automatique"
410,"05.6.1.1",0.729373472094574,"Code automatique"
411,"01.1.1.1",0.729373472094574,"Code automatique"
412,"01.1.3.1",0.570633891651488,"Code automatique"
413,"01.1.2.5",0.598839376572889,"Code automatique"
414,"05.6.1.1",0.729373472094574,"Code automatique"
415,"07.2.1.2",0.324432068885534,"Code automatique"
416,"05.1.1.4",0.723463774628814,"Code automatique"
417,"12.1.1",0.626928342433624,"Code automatique"
418,"09.3.1.2",0.266899765803598,"Reprise manuelle / LLM"
419,"01.1.4.5",0.729373472094574,"Code automatique"
420,"01.1.7.1",0.729373472094574,"Code automatique"
421,"01.1.6.1",0.729373472094574,"Code automatique"
422,"03.1.2",0.523504296398258,"Code automatique"
423,"06.2.3.1",0.400772199677103,"Code automatique"
424,"01.1.1.3",0.729373472094574,"Code automatique"
425,"01.1.4.5",0.729373472094574,"Code automatique"
426,"11.1.1.2",0.523504296398258,"Code automatique"
427,"13.1.2",0.729373472094574,"Code automatique"
428,"07.2.2.2",0.729373472094574,"Code automatique"
429,"11.1.1.2",0.570633891651488,"Code automatique"
430,"11.2.0.1",0.673079021312438,"Code automatique"
431,"01.1.7.2",0.729373472094574,"Code automatique"
432,"13.1.2",0.626928342433624,"Code automatique"
433,"07.4.1",0.523504296398258,"Code automatique"
434,"01.1.8.9",0.729373472094574,"Code automatique"
435,"05.6.1.1",0.523504296398258,"Code automatique"
436,"05.4.0.1",0.400772199677103,"Code automatique"
437,"06.1.1.1",0.729373472094574,"Code automatique"
438,"04.5.1",0.729373472094574,"Code automatique"
439,"01.1.7.2",0.729373472094574,"Code automatique"
440,"01.1.1.3",0.626928342433624,"Code automatique"
441,"06.2.3.1",0.673079021312438,"Code automatique"
442,"01.1.7.1",0.626928342433624,"Code automatique"
443,"01.1.7.2",0.729373472094574,"Code automatique"
444,"01.1.2.5",0.459955268245578,"Code automatique"
445,"01.1.7.1",0.459955268245578,"Code automatique"
446,"01.1.1.3",0.729373472094574,"Code automatique"
447,"07.2.2.2",0.729373472094574,"Code automatique"
448,"01.1.1.3",0.729373472094574,"Code automatique"
449,"01.1.9.1",0.729373472094574,"Code automatique"
450,"01.1.7.9",0.459955268245578,"Code automatique"
451,"11.1.1.2",0.523504296398258,"Code automatique"
452,"02.3.0.1",0.723463774628814,"Code automatique"
453,"01.1.1.3",0.729373472094574,"Code automatique"
454,"01.1.7.4",0.729373472094574,"Code automatique"
455,"13.1.2",0.570633891651488,"Code automatique"
456,"01.1.4.6",0.626928342433624,"Code automatique"
457,"01.1.6.4",0.729373472094574,"Code automatique"
458,"01.1.2.3",0.729373472094574,"Code automatique"
459,"01.1.7.4",0.729373472094574,"Code automatique"
460,"01.1.1.3",0.459955268245578,"Code automatique"
461,"05.6.1.1",0.626928342433624,"Code automatique"
462,"01.1.1.3",0.523504296398258,"Code automatique"
463,"03.1.4.2",0.729373472094574,"Code automatique"
464,"12.1.1",0.626928342433624,"Code automatique"
465,"02.1.2.1",0.570633891651488,"Code automatique"
466,"07.2.2.2",0.673079021312438,"Code automatique"
467,"01.1.1.3",0.729373472094574,"Code automatique"
468,"01.1.1.3",0.626928342433624,"Code automatique"
469,"07.2.1.3",0.402422965163641,"Code automatique"
470,"01.1.1.3",0.523504296398258,"Code automatique"
471,"05.3.1.2",0.729373472094574,"Code automatique"
472,"05.1.1.4",0.729373472094574,"Code automatique"
473,"05.5.1",0.729373472094574,"Code automatique"
474,"09.7.1",0.523504296398258,"Code automatique"
475,"01.1.3.4",0.266899765803598,"Reprise manuelle / LLM"
476,"01.1.5.3",0.324432068885534,"Code automatique"
477,"13.1.2",0.626928342433624,"Code automatique"
478,"01.1.5.1",0.570633891651488,"Code automatique"
479,"02.1.2.1",0.729373472094574,"Code automatique"
480,"01.1.8.9",0.626928342433624,"Code automatique"
481,"01.1.6.5",0.729373472094574,"Code automatique"
482,"07.3.1.1",0.729373472094574,"Code automatique"
483,"01.1.7.9",0.626928342433624,"Code automatique"
484,"08.3",0.523504296398258,"Code automatique"
485,"01.1.2.2",0.598839376572889,"Code automatique"
486,"02.3.0.1",0.523504296398258,"Code automatique"
487,"01.1.1.3",0.729373472094574,"Code automatique"
488,"99.4",0.626928342433624,"Code automatique"
489,"11.1.1.2",0.729373472094574,"Code automatique"
490,"01.1.1.2",0.729373472094574,"Code automatique"
491,"06.1.1",0.523504296398258,"Code automatique"
492,"01.1.1.3",0.626928342433624,"Code automatique"
493,"01.2.1",0.729373472094574,"Code automatique"
494,"01.1.7.4",0.729373472094574,"Code automatique"
495,"03.1.2",0.570633891651488,"Code automatique"
496,"05.6.1.1",0.626928342433624,"Code automatique"
